,item_id,dept_id,cat_id,state_id,price,year,sale_perday,price_change,sale_change,elasticity,level,revenue,LB_price,UB_price,opti_price,optimized_units,optimized_revenue
1,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA,8.260000228881836,2013,1.5038167938931297,-0.1377870256092416,0.5038167938931297,-3.6564893658560687,Elastic Demand,12.4215270617536,4.130000114440918,12.390000343322754,5.259498961928026,3.5012533798089844,18.414838516552347
5,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA,8.380000114440918,2016,1.7216494845360826,0.01452783077892561,0.0575117011838846,-3.9587259831875476,Elastic Demand,14.42742287743952,4.190000057220459,12.570000171661377,5.248421363058907,4.2685940437055,22.40338016920995
7,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX,8.260000228881836,2013,1.328358208955224,-0.1377870256092416,-0.2409381663113006,-1.7486273852415641,Elastic Demand,10.972239110007216,4.130000114440918,12.390000343322754,6.491852832667528,1.8255808385162033,11.851402137784977
8,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX,8.619999885559082,2013,1.1,0.04358349233677683,-0.17191011235955056,-3.9443858934289335,Elastic Demand,9.48199987411499,4.309999942779541,12.929999828338623,5.4026921223897695,2.719412282688852,14.692147317213042
9,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX,8.380000114440918,2013,1.1538461538461537,-0.02784220119541192,0.04895104895104874,-1.7581601615290143,Elastic Demand,9.669230901277981,4.190000057220459,12.570000171661377,6.573172376114745,1.5912464436692246,10.459537167117375
11,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX,8.380000114440918,2014,1.1132075471698113,0.01452783077892561,-0.09117040094339623,-6.275568757012921,Elastic Demand,9.328679372679511,4.190000057220459,12.570000171661377,4.857668552379215,4.0496090927406305,19.671658739235085
13,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX,5.0,2015,2.0,-0.3946731402600875,0.5758928571428572,-1.4591640484157267,Elastic Demand,10.0,2.5,7.5,4.21330960405943,2.4591641371961654,10.361219877207125
16,HOBBIES_1_001,HOBBIES_1,HOBBIES,WI,8.260000228881836,2013,1.0571428571428572,-0.1377870256092416,0.05714285714285716,-0.4147187072962296,Inelastic Demand,8.732000241960797,4.130000114440918,12.390000343322754,12.390000343322754,0.837934397571993,10.382007473598938
17,HOBBIES_1_001,HOBBIES_1,HOBBIES,WI,8.619999885559082,2013,1.0,0.04358349233677683,-0.05405405405405406,-1.2402414573933054,Elastic Demand,8.619999885559082,4.309999942779541,12.929999828338623,7.785128649737907,1.1201208737815949,8.720285105646553
19,HOBBIES_1_001,HOBBIES_1,HOBBIES,WI,8.380000114440918,2014,1.2162162162162162,0.01452783077892561,0.027289425347677865,-1.8784239548869541,Elastic Demand,10.191892031076792,4.190000057220459,12.570000171661377,6.420593343654588,1.7503929737492772,11.238561476034368
21,HOBBIES_1_001,HOBBIES_1,HOBBIES,WI,8.380000114440918,2015,1.4285714285714286,0.01452783077892561,0.13328012769353537,-9.174124459576886,Elastic Demand,11.971428734915598,4.190000057220459,12.570000171661377,4.646719303905639,7.267231900899004,33.76878675986627
23,HOBBIES_1_001,HOBBIES_1,HOBBIES,WI,8.380000114440918,2016,1.1851851851851851,0.01452783077892561,-0.05528717122920035,-3.805604021035345,Elastic Demand,9.931851987485532,4.190000057220459,12.570000171661377,5.291008166034771,2.847765228570642,15.067549079317143
28,HOBBIES_1_002,HOBBIES_1,HOBBIES,CA,2.0,2014,1.0,-0.4962216660990463,-0.1839080459770115,-0.37061671938424245,Inelastic Demand,2.0,1.0,3.0,3.0,0.8146916403078788,2.4440749209236365
35,HOBBIES_1_002,HOBBIES_1,HOBBIES,TX,2.9700000286102295,2014,1.0,-0.2518891669504768,-0.14893617021276595,-0.591276600005779,Inelastic Demand,2.9700000286102295,1.4850000143051147,4.455000042915344,3.9965147794872617,0.7956383347112739,3.179780363800239
48,HOBBIES_1_003,HOBBIES_1,HOBBIES,TX,0.9700000286102295,2014,4.0,-0.673400666913755,2.566265060240964,-3.8109036511685477,Elastic Demand,3.880000114440918,0.48500001430511475,1.4550000429153442,0.6122664149186706,9.621807399392084,5.891109521463729
52,HOBBIES_1_003,HOBBIES_1,HOBBIES,WI,5.96999979019165,2014,1.0,1.0101009200950175,-0.19047619047619047,-0.18857144537426307,Inelastic Demand,5.96999979019165,2.984999895095825,8.954999685287476,8.954999685287476,0.9057142773128685,8.11067106829711
53,HOBBIES_1_003,HOBBIES_1,HOBBIES,WI,0.9399999976158142,2014,2.0,-0.8425460585174261,1.0,-1.1868787348665963,Elastic Demand,1.8799999952316284,0.4699999988079071,1.4099999964237213,0.8659966428506493,2.1868787410688078,1.8938296480870418
59,HOBBIES_1_004,HOBBIES_1,HOBBIES,CA,4.639999866485596,2013,4.225458468176915,0.06912435561063712,0.060071159560173504,-0.8690303009628276,Inelastic Demand,19.606126728181316,2.319999933242798,6.9599997997283936,4.989642158835148,3.948754907496647,19.702873961352452
64,HOBBIES_1_004,HOBBIES_1,HOBBIES,TX,3.7699999809265137,2011,2.0754716981132075,-0.13133644046567428,-0.14255933048325453,-1.0854514556492296,Elastic Demand,7.824528262300311,1.8849999904632568,5.6549999713897705,3.621604585730521,2.164147739550707,7.8376873777551825
66,HOBBIES_1_004,HOBBIES_1,HOBBIES,TX,3.7699999809265137,2012,2.6964285714285716,-0.13133644046567428,0.07045076757602442,-0.5364144735933911,Inelastic Demand,10.165535662855422,1.8849999904632568,5.6549999713897705,5.399073621982741,2.0714159658535225,11.183727301393656
68,HOBBIES_1_004,HOBBIES_1,HOBBIES,TX,4.639999866485596,2013,3.1706231454005933,0.06912435561063712,0.01787532712122375,-0.25859665472922,Inelastic Demand,14.711690971334892,2.319999933242798,6.9599997997283936,6.9599997997283936,2.760666875996778,19.214240904054385
69,HOBBIES_1_004,HOBBIES_1,HOBBIES,TX,3.7699999809265137,2013,2.814814814814815,-0.1874999807312565,-0.11222031577670322,-0.5985084123157776,Inelastic Demand,10.61185179816352,1.8849999904632568,5.6549999713897705,5.034496407506182,2.249752498393878,11.326370870942037
74,HOBBIES_1_004,HOBBIES_1,HOBBIES,WI,4.260000228881836,2011,1.4393939393939394,-0.018433161496169914,-0.5420624151967435,-29.40691510294501,Elastic Demand,6.1318185112693095,2.130000114440918,6.390000343322754,2.2024321037486123,21.88376423646138,48.19750490524829
76,HOBBIES_1_004,HOBBIES_1,HOBBIES,WI,4.260000228881836,2012,1.40625,-0.018433161496169914,-0.483701750448833,-26.240845909657857,Elastic Demand,5.990625321865082,2.130000114440918,6.390000343322754,2.2111713287485877,19.15371937997299,42.35215513189245
78,HOBBIES_1_004,HOBBIES_1,HOBBIES,WI,4.639999866485596,2013,2.7660098522167487,0.06912435561063712,-0.19269568906592505,-2.787667058356958,Elastic Demand,12.834285344983556,2.319999933242798,6.9599997997283936,3.1522370176416206,5.238362217048978,16.512559292397018
79,HOBBIES_1_004,HOBBIES_1,HOBBIES,WI,4.260000228881836,2013,1.6,-0.08189647597804284,-0.42154942119323235,-5.147345061663623,Elastic Demand,6.816000366210938,2.130000114440918,6.390000343322754,2.543805707088014,4.917876027036102,12.510121104325764
84,HOBBIES_1_005,HOBBIES_1,HOBBIES,CA,2.4800000190734863,2011,2.0625,-0.16778523382541966,-0.13605385638297873,-0.8108809892325961,Inelastic Demand,5.1150000393390656,1.2400000095367432,3.7200000286102295,2.769201043412301,1.8674709889193843,5.171402611057761
86,HOBBIES_1_005,HOBBIES_1,HOBBIES,CA,2.9800000190734863,2012,2.2295081967213113,0.20161290167521728,0.01841732442825328,-0.09134992986670147,Inelastic Demand,6.643934468754002,1.4900000095367432,4.4700000286102295,4.4700000286102295,2.1276754880174473,9.510709492311273
87,HOBBIES_1_005,HOBBIES_1,HOBBIES,CA,3.0799999237060547,2012,2.3095238095238093,0.03355701476259032,0.03588935574229701,-1.0695038279241338,Elastic Demand,7.11333315713065,1.5399999618530273,4.619999885559082,2.9799199383946244,2.3897842085183294,7.121365611424387
90,HOBBIES_1_005,HOBBIES_1,HOBBIES,CA,2.880000114440918,2014,1.9401993355481728,-0.0649350046166508,0.18066393674830672,-2.782227210344733,Elastic Demand,5.587774308416931,1.440000057220459,4.320000171661377,1.9575710441105154,3.669137342827298,7.182597019183317
94,HOBBIES_1_005,HOBBIES_1,HOBBIES,TX,2.4800000190734863,2011,3.4132231404958677,-0.0915750909352907,0.1708149144724198,-1.865298879070969,Elastic Demand,8.464793453531817,1.2400000095367432,3.7200000286102295,1.90477284210023,4.889952205642063,9.314248160475119
95,HOBBIES_1_005,HOBBIES_1,HOBBIES,TX,2.9800000190734863,2011,1.2916666666666667,0.20161290167521728,-0.6215698143664246,-3.082986302968474,Elastic Demand,3.849166691303253,1.4900000095367432,4.4700000286102295,1.9732976657387433,2.6369286345861207,5.2034451193484434
97,HOBBIES_1_005,HOBBIES_1,HOBBIES,TX,2.7300000190734863,2012,2.1528239202657806,0.10080645083760875,-0.29415609171613744,-2.91802845226641,Elastic Demand,5.877209343387439,1.3650000095367432,4.0950000286102295,1.8327815867127084,4.217412731812391,7.7295963984334914
98,HOBBIES_1_005,HOBBIES_1,HOBBIES,TX,2.9800000190734863,2012,1.558139534883721,0.09157509093529081,-0.27623456790123446,-3.0164815025565033,Elastic Demand,4.643255843672642,1.4900000095367432,4.4700000286102295,1.9839529977945345,3.1291192878177334,6.208025591522691
99,HOBBIES_1_005,HOBBIES_1,HOBBIES,TX,1.5,2012,2.0,-0.4966442985237409,0.28358208955223874,-0.5709963657997833,Inelastic Demand,3.0,0.75,2.25,2.0634934760857213,1.5709963640042213,3.2417407480771
100,HOBBIES_1_005,HOBBIES_1,HOBBIES,TX,1.9900000095367432,2012,2.0,0.32666667302449537,0.0,-0.0,Perfectly Inelastic Demand,3.9800000190734863,0.9950000047683716,2.9850000143051147,2.9850000143051147,2.0,5.9700000286102295
102,HOBBIES_1_005,HOBBIES_1,HOBBIES,TX,2.9800000190734863,2013,1.5384615384615385,0.09157509093529081,-0.14454775993237534,-1.5784615494896566,Elastic Demand,4.58461541395921,1.4900000095367432,4.4700000286102295,2.433957075358551,1.9834320007782813,4.827588351786865
104,HOBBIES_1_005,HOBBIES_1,HOBBIES,TX,2.9800000190734863,2014,1.3846153846153846,0.09157509093529081,-0.06312005751258098,-0.6892710328530621,Inelastic Demand,4.126153872563289,1.4900000095367432,4.4700000286102295,3.6517039241622347,1.169495385998062,4.27065089033875
105,HOBBIES_1_005,HOBBIES_1,HOBBIES,TX,2.880000114440918,2014,1.25,-0.03355701476259032,-0.09722222222222221,-2.8972250037749623,Elastic Demand,3.6000001430511475,1.440000057220459,4.320000171661377,1.9370274041928,2.435765627364672,4.718144770396238
107,HOBBIES_1_005,HOBBIES_1,HOBBIES,TX,2.0,2015,2.0,-0.2673992725176739,0.3861671469740635,-1.4441593028213626,Elastic Demand,4.0,1.0,3.0,1.6924443847058428,2.4441593029620052,4.136603687624593
110,HOBBIES_1_005,HOBBIES_1,HOBBIES,WI,2.4800000190734863,2011,2.2721518987341773,-0.16778523382541966,0.2573172562165409,-1.5336108568664581,Elastic Demand,5.634936752198618,1.2400000095367432,3.7200000286102295,2.0485493275780384,2.878374356862972,5.89649185326951
112,HOBBIES_1_005,HOBBIES_1,HOBBIES,WI,2.9800000190734863,2012,1.6635071090047393,0.20161290167521728,-0.11185637400594428,-0.5548076193364659,Inelastic Demand,4.957251216563003,1.4900000095367432,4.4700000286102295,4.175615700835787,1.2932167423999412,5.399976134148904
113,HOBBIES_1_005,HOBBIES_1,HOBBIES,WI,3.0799999237060547,2012,1.816326530612245,0.03355701476259032,0.09186580615152051,-2.737603651619613,Elastic Demand,5.594285575710997,1.5399999618530273,4.619999885559082,2.1025357328456002,3.39435432548043,7.136751259261629
116,HOBBIES_1_005,HOBBIES_1,HOBBIES,WI,2.880000114440918,2014,1.5324675324675325,-0.0649350046166508,0.14159524685840474,-2.180568827157618,Elastic Demand,4.4135066688834845,1.440000057220459,4.320000171661377,2.1003782222723255,2.4370592399107776,5.118746153896144
123,HOBBIES_1_006,HOBBIES_1,HOBBIES,CA,0.9599999785423279,2015,2.1152073732718892,-0.04000002145767212,-0.07137237270990227,-1.7843083605699626,Elastic Demand,2.0305990329535875,0.47999998927116394,1.4399999678134918,0.7490117838326547,2.9446947761688156,2.2056110871409045
126,HOBBIES_1_006,HOBBIES_1,HOBBIES,TX,1.100000023841858,2012,1.8235294117647058,0.10000002384185791,0.08596365375418458,-0.8596363325885729,Inelastic Demand,2.0058823964175057,0.550000011920929,1.6500000357627869,1.1898054616647942,1.6955507763719786,2.017375574257362
128,HOBBIES_1_006,HOBBIES_1,HOBBIES,TX,1.100000023841858,2013,1.8333333333333333,0.10000002384185791,0.07352941176470584,-0.7352939423393214,Inelastic Demand,2.0166667103767395,0.550000011920929,1.6500000357627869,1.2980002044392058,1.5906861163003674,2.0647109041564833
130,HOBBIES_1_006,HOBBIES_1,HOBBIES,TX,1.100000023841858,2014,1.7027027027027026,0.10000002384185791,0.07027027027027022,-0.7027025351653622,Inelastic Demand,1.8729730135685687,0.550000011920929,1.6500000357627869,1.3326925271327237,1.449598099969498,1.9318685551751449
132,HOBBIES_1_006,HOBBIES_1,HOBBIES,TX,0.9599999785423279,2015,1.5488721804511278,-0.04000002145767212,-0.1213670539986329,-3.034174722307664,Elastic Demand,1.4869172599978913,0.47999998927116394,1.4399999678134918,0.6381978587896662,3.1242105193260707,1.9938644638420493
136,HOBBIES_1_006,HOBBIES_1,HOBBIES,WI,1.1200000047683716,2013,1.5578947368421052,0.12000000476837158,-0.4640728078200992,-3.8672732448291947,Elastic Demand,1.7448421126917788,0.5600000023841858,1.6800000071525574,0.70480486408355,3.7913497341482514,2.672161734069562
138,HOBBIES_1_006,HOBBIES_1,HOBBIES,WI,1.1200000047683716,2014,1.79,0.12000000476837158,-0.3533236994219653,-2.9443640448511954,Elastic Demand,2.004800008535385,0.5600000023841858,1.6800000071525574,0.7501938719563895,3.5302058381451786,2.648338786521183
140,HOBBIES_1_006,HOBBIES_1,HOBBIES,WI,0.9599999785423279,2015,2.6775510204081634,-0.04000002145767212,-0.09040132799531297,-2.2600319875071904,Elastic Demand,2.570448922137825,0.47999998927116394,1.4399999678134918,0.6923863557576929,4.36445100772041,3.021886328118525
141,HOBBIES_1_006,HOBBIES_1,HOBBIES,WI,1.1200000047683716,2015,1.5434782608695652,0.16666669771075315,-0.4235485153764581,-2.541290618906474,Elastic Demand,1.7286956595337908,0.5600000023841858,1.6800000071525574,0.7803604684983646,2.7329525663765013,2.1326881450813744
144,HOBBIES_1_007,HOBBIES_1,HOBBIES,CA,7.880000114440918,2012,1.0,-0.007556667801907446,-0.08108108108108103,-10.729740039732146,Elastic Demand,7.880000114440918,3.940000057220459,11.820000171661377,4.307203640206142,5.8648701556688465,25.261190083833217
146,HOBBIES_1_007,HOBBIES_1,HOBBIES,CA,6.389999866485596,2013,2.0,-0.18908632313656215,0.7241379310344829,-3.829668476400036,Elastic Demand,12.779999732971191,3.194999933242798,9.584999799728394,4.029275722289644,4.829668552552252,19.460066245504557
151,HOBBIES_1_007,HOBBIES_1,HOBBIES,TX,7.880000114440918,2012,1.12,-0.007556667801907446,0.09395348837209316,-12.433190241388873,Elastic Demand,8.825600128173829,3.940000057220459,11.820000171661377,4.256893623827868,7.522586827588488,32.022851901052945
